uuid;timefrom;timeto;latitude;longitude;accuracy;speed;speedaccuracy;altitude;altitudeaccuracy;daypart;lastupdated
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:19;07.04.2020 17:19;59.918538;10.666708;16;1.377;0;-2;33.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:19;07.04.2020 17:20;59.918384;10.667063;6.001;1.316;0;-11.4;16.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:20;07.04.2020 17:20;59.918416;10.667292;6.001;1.07;0;-10.2;16.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:20;07.04.2020 17:20;59.918438;10.667518;6.001;0.946;0;-8.6;9.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:20;07.04.2020 17:20;59.918446;10.667775;8.001;1.235;0;-7.2;9.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:20;07.04.2020 17:20;59.918523;10.668143;6.001;0.867;0;-5.9;9.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:20;07.04.2020 17:21;59.918555;10.668248;6.001;0.991;0;-4.6;9.5;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:21;07.04.2020 17:21;59.918616;10.668447;6.001;1.16;0;-2.5;9.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:21;07.04.2020 17:21;59.918662;10.668671;6.001;1.001;0;-4.2;9.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:21;07.04.2020 17:21;59.918797;10.668982;6.001;1.392;0;-4.8;9.4;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:21;07.04.2020 17:21;59.918861;10.669176;6.001;0.962;0;-4.1;9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:22;07.04.2020 17:22;59.918927;10.669409;6.001;1.187;0;-6.1;7.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:22;07.04.2020 17:22;59.918994;10.669600;6.001;1.485;0;-4.4;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:22;07.04.2020 17:22;59.919068;10.669774;6.001;1.226;0;-3.5;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:22;07.04.2020 17:22;59.919121;10.669977;6.001;1.231;0;-3;7.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:22;07.04.2020 17:23;59.919192;10.670161;6.001;1.008;0;-3.1;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:23;07.04.2020 17:23;59.919231;10.670300;6.001;1.249;0;-4.7;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:23;07.04.2020 17:23;59.919300;10.670473;6.001;1.197;0;-3.3;7.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:23;07.04.2020 17:23;59.919376;10.670643;6.001;1.072;0;-3;8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:23;07.04.2020 17:23;59.919444;10.670840;6.001;1.116;0;0.5;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:23;07.04.2020 17:23;59.919511;10.671019;6.001;1.075;0;-2.9;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:23;07.04.2020 17:24;59.919571;10.671208;6.001;1.139;0;-2;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:24;07.04.2020 17:24;59.919654;10.671411;6.001;1.27;0;-2.1;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:24;07.04.2020 17:24;59.919716;10.671608;6.001;1.397;0;-2.1;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:24;07.04.2020 17:24;59.919779;10.671797;6.001;1.201;0;-1.2;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:24;07.04.2020 17:24;59.919861;10.671978;6.001;1.313;0;-2.8;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:24;07.04.2020 17:24;59.919932;10.672159;6.001;1.269;0;-3.4;7.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:24;07.04.2020 17:25;59.919996;10.672349;6.001;1.119;0;-4;7.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:25;07.04.2020 17:25;59.920066;10.672602;6.001;1.143;0;-4.7;8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:25;07.04.2020 17:25;59.920129;10.672786;6.001;1.02;0;-5.8;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:25;07.04.2020 17:25;59.920198;10.672956;6.001;1.154;0;-3.3;8.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:25;07.04.2020 17:25;59.920275;10.673124;6.001;0.97;0;-2.1;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:25;07.04.2020 17:25;59.920322;10.673334;6.001;1.285;0;-3.1;8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:25;07.04.2020 17:26;59.920360;10.673547;6.001;0.975;0;-4;8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:26;07.04.2020 17:26;59.920379;10.673790;6.001;1.154;0;-5.5;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:26;07.04.2020 17:26;59.920403;10.674003;6.001;1.242;0;-6.1;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:26;07.04.2020 17:26;59.920444;10.674213;6.001;1.345;0;-6.4;8.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:26;07.04.2020 17:26;59.920475;10.674454;6.001;1.159;0;-5.9;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:26;07.04.2020 17:26;59.920497;10.674685;6.001;1.079;0;-2.4;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:27;07.04.2020 17:27;59.920523;10.674903;6.001;1.298;0;-2.4;8.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:27;07.04.2020 17:27;59.920571;10.675140;6.001;1.173;0;-0.5;8.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:27;07.04.2020 17:27;59.920541;10.675369;6.001;1.157;0;-0.7;8.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:27;07.04.2020 17:27;59.920523;10.675605;6.001;0.898;0;2;8.2;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:27;07.04.2020 17:27;59.920584;10.675782;6.001;0.507;0;2.1;8.2;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:27;07.04.2020 17:28;59.920690;10.675829;6.001;0.633;0;-1.7;8.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:28;07.04.2020 17:28;59.920787;10.675953;8.001;1.067;0;-7;14.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:28;07.04.2020 17:28;59.920923;10.676329;16.002;1.169;0;-5.5;12;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:28;07.04.2020 17:29;59.921172;10.676679;16.002;0.784;0;-5;14.4;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:29;07.04.2020 17:29;59.921410;10.676991;16.002;0.162;0;0.4;12.4;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:29;07.04.2020 17:30;59.921671;10.676705;16.002;0.847;0;-0.1;14.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:30;07.04.2020 17:30;59.921847;10.677176;16.002;1.144;0;-1.4;12.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:30;07.04.2020 17:30;59.921949;10.677485;16.002;0.988;0;0.8;10.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:30;07.04.2020 17:31;59.922060;10.678034;16.002;0.938;0;1.1;9.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:31;07.04.2020 17:31;59.922121;10.678602;16.002;1.017;0;0.5;9.2;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:31;07.04.2020 17:31;59.922188;10.678806;16.002;1.282;0;-0.4;7.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:31;07.04.2020 17:31;59.922350;10.679379;16.002;1.004;0;0.2;13.7;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:32;07.04.2020 17:32;59.922621;10.679119;16.002;0.875;0;-0.5;9.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:32;07.04.2020 17:32;59.922946;10.679379;16.002;0.943;0;2.3;7.8;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:32;07.04.2020 17:33;59.923276;10.679623;6.001;0.052;0;5;11.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:33;07.04.2020 17:33;59.923380;10.679563;6.001;0.429;0;4.6;11.9;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:33;07.04.2020 17:33;59.923474;10.679696;6.001;0.672;0;3.1;15.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:33;07.04.2020 17:33;59.923582;10.679860;6.001;0.595;0;-0.9;9.1;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:33;07.04.2020 17:33;59.923683;10.679940;6.001;0.85;0;0.4;10.6;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:33;07.04.2020 17:34;59.923799;10.680066;8.001;-1;0;1;6.3;98;08.04.2020 10:37
40ea8878728e11ea86d7ee3617b084b4;07.04.2020 17:34;07.04.2020 17:36;59.923860;10.680123;304.567;-1;0;1;12.8;98;08.04.2020 10:37
